 array_element_name	array_element_type	organism	is_control	locus	description	chromosome
247031_at	oligonucleotide	Arabidopsis thaliana	no	AT5G67230	Encodes a member of the GT43 family glycosyltransferases involved in glucuronoxylan biosynthesis: AT2G37090 (IRX9) and AT1G27600 (IRX9-L or I9H, IRX9 homolog); AT4G36890 (IRX14) and AT5G67230 (IRX14-L or I14H, IRX14 homolog). They form two functionally non-redundant groups essential for the normal elongation of glucuronoxylan backbone. I9H functions redundantly with IRX9, I14H is redundant with IRX14.  IRX9 or I9H do not complement IRX14, IRX14 or I14H do not complement IRX9.	5
247655_at	oligonucleotide	Arabidopsis thaliana	no	AT5G59820	Encodes a zinc finger protein involved in high light and cold acclimation. Overexpression of this putative transcription factor increases the expression level of 9 cold-responsive genes and represses the expression level of 15 cold-responsive genes, including CBF genes. Also, lines overexpressing this gene exhibits a small but reproducible increase in freeze tolerance. Because of the repression of the CBF genes by the overexpression of this gene, the authors speculate that this gene may be involved in negative regulatory circuit of the CBF pathway. The mRNA is cell-to-cell mobile.	5
246817_at	oligonucleotide	Arabidopsis thaliana	no	AT5G27240	DNAJ heat shock N-terminal domain-containing protein;(source:Araport11)	5
255013_at	oligonucleotide	Arabidopsis thaliana	no	AT4G10000	Thioredoxin family protein;(source:Araport11)	4
252403_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48080	alpha/beta-Hydrolases superfamily protein;(source:Araport11)	3
259629_at	oligonucleotide	Arabidopsis thaliana	no	AT1G56510	TIR-NB-LRR protein that confers resistance to four races of Albugo candida. The mRNA is cell-to-cell mobile.	1
248629_at	oligonucleotide	Arabidopsis thaliana	no	AT5G48970	Encodes a mitochondrial thiamin diphosphate carrier.	5
254805_at	oligonucleotide	Arabidopsis thaliana	no	AT4G12480	Encodes a putative lipid transfer protein, vernalization-responsive and cold-induced. It is involved in priming the SAR and ISR responses, specifically in propagating the cell-to-cell mobile signal.	4
247770_at	oligonucleotide	Arabidopsis thaliana	no	AT5G58930	hypothetical protein (DUF740);(source:Araport11)	5
246526_at	oligonucleotide	Arabidopsis thaliana	no	AT5G15720	Contains lipase signature motif and GDSL domain.	5
259505_at	oligonucleotide	Arabidopsis thaliana	no	AT1G15810	S15/NS1, RNA-binding protein;(source:Araport11)	1
251772_at	oligonucleotide	Arabidopsis thaliana	no	AT3G55920	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)	3
252087_at	oligonucleotide	Arabidopsis thaliana	no	AT3G52080	encodes a cation:proton exchanger expressed in pollen	3
248407_at	oligonucleotide	Arabidopsis thaliana	no	AT5G51500	Plant invertase/pectin methylesterase inhibitor superfamily;(source:Araport11)	5
254093_at	oligonucleotide	Arabidopsis thaliana	no	AT4G25110	Encodes a type I metacaspase. Two Arabidopsis metacaspases, AT1G02170 (MC1) and AT4G25110 (MC2)  antagonistically control programmed cell death in Arabidopsis. MC1 is a positive regulator of cell death and requires conserved caspase-like putative catalytic residues for its function. MC2 negatively regulates cell death. This function is independent of the putative catalytic residues.  A third type I Arabidopsis metacaspase is MC3 (AT5g64240).	4
256775_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13770	Pentatricopeptide repeat (PPR) superfamily protein;(source:Araport11)	3
264981_at	oligonucleotide	Arabidopsis thaliana	no	AT1G27160	valyl-tRNA synthetase / valine-tRNA ligase-like protein;(source:Araport11)	1
251906_at	oligonucleotide	Arabidopsis thaliana	no	AT3G53720	member of Putative Na+/H+ antiporter family.  Involved in the osmoregulation through K(+) fluxes and possibly pH modulation of an active endomembrane system in guard cells.	3
265334_at	oligonucleotide	Arabidopsis thaliana	no	AT2G18370	Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the lipid transfer protein (PR-14) family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.	2
252293_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48990	Encodes an oxalyl-CoA synthetase and is required for oxalate degradation, for normal seed development, and for defense against an oxalate-producing fungal pathogen.	3
246264_at	oligonucleotide	Arabidopsis thaliana	no	AT1G31814	family member of FRI-related genes that is  required for the winter-annual habit. Genbank accession BK004885	1
256073_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18100	Encodes a member of the FT and TFL1 family of phosphatidylethanolamine-binding proteins. It is expressed in seeds and up-regulated in response to ABA. Loss of function mutants show decreased rate of germination in the presence of ABA. ABA dependent regulation is mediated by both ABI3 and ABI5. ABI5 promotes MFT expression, primarily in the radicle-hypocotyl transition zone and ABI3 suppresses it in the seed.	1
267564_at	oligonucleotide	Arabidopsis thaliana	no	AT2G30740	Protein kinase superfamily protein;(source:Araport11)	2
262916_at	oligonucleotide	Arabidopsis thaliana	no	AT1G59700	Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002). The mRNA is cell-to-cell mobile.	1
258026_at	oligonucleotide	Arabidopsis thaliana	no	AT3G19290	bZIP transcription factor with specificity for abscisic acid-responsive elements (ABRE). Mediates ABA-dependent stress responses.ABF4 acts through SnRK2 pathway and binds to ABA response elements of the promoters of NYE1 and regulates their expression to promote chlorophyll degradation.	3
249990_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18540	E3 ubiquitin-protein ligase;(source:Araport11)	5
257889_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17080	Plant self-incompatibility protein S1 family;(source:Araport11)	3
247886_at	oligonucleotide	Arabidopsis thaliana	no	AT5G57850	ADCL encodes a protein that acts as a 4-amino-4-deoxychorismate lyase. It catalyzes the production 4-aminobenzoate (pABA) production which is required for folate biosynthesis. The enzyme localizes to chloroplasts based on an import assay and GFP localization experiments. Involved in D-Amino Acid Stimulated Ethylene Production.	5
260049_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29940	Encodes a subunit of RNA polymerase 1 (aka RNA polymerase A).	1
264502_at	oligonucleotide	Arabidopsis thaliana	no	AT1G09400	FMN-linked oxidoreductases superfamily protein;(source:Araport11)	1
248486_at	oligonucleotide	Arabidopsis thaliana	no	AT5G51060	RHD2 (along with RHD3 and RHD4) is required for normal root hair elongation. Has NADPH oxidase activity. Gene is expressed in the elongation and differention zone in trichoblasts and elongating root hairs. RDH2 is localized to the growing tips of root hair cells. It is required for the production of reactive oxygen species in response to extracellular ATP stimulus. The increase in ROS production stimulates Ca2+ influx.	5
247146_at	oligonucleotide	Arabidopsis thaliana	no	AT5G65610	hypothetical protein;(source:Araport11)	5
247835_at	oligonucleotide	Arabidopsis thaliana	no	AT5G57910	ribosomal RNA small subunit methyltransferase G;(source:Araport11)	5
267223_at	oligonucleotide	Arabidopsis thaliana	no	AT2G43980	inositol 1,3,4-trisphosphate 5/6-kinase 4;(source:Araport11)	2
256696_at	oligonucleotide	Arabidopsis thaliana	no	AT3G20650	mRNA capping enzyme family protein;(source:Araport11)	3
263212_at	oligonucleotide	Arabidopsis thaliana	no	AT1G10510	RNI-like superfamily protein;(source:Araport11)	1
262440_at	oligonucleotide	Arabidopsis thaliana	no	AT1G47710	Serine protease inhibitor (SERPIN) family protein;(source:Araport11)	1
255698_at	oligonucleotide	Arabidopsis thaliana	no	AT4G00150	Belongs to one of the LOM (LOST MERISTEMS) genes: AT2G45160 (LOM1), AT3G60630 (LOM2) and AT4G00150 (LOM3). LOM1 and LOM2 promote cell differentiation at the periphery of shoot meristems and help to maintain their polar organization.	4
250131_at	oligonucleotide	Arabidopsis thaliana	no	AT5G16550	Lipid droplet protein associated with LDAP3.	5
264292_at	oligonucleotide	Arabidopsis thaliana	no	AT1G78790	Encodes a protein with high similarity to mammalian MHF2 that acts in the same pathway as FANCM to restrain class II meiotic crossing over.	1
250632_at	oligonucleotide	Arabidopsis thaliana	no	AT5G07450	cyclin p4;(source:Araport11)	5
257824_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25290	Auxin-responsive family protein;(source:Araport11)	3
256792_at	oligonucleotide	Arabidopsis thaliana	no	AT3G22150	Involved in RNA editing of plastid atpF and mitochondrial nad5.	3
253052_at	oligonucleotide	Arabidopsis thaliana	no	AT4G37310	member of CYP81H	4
248694_at	oligonucleotide	Arabidopsis thaliana	no	AT5G48340	hypothetical protein;(source:Araport11)	5
263798_at	oligonucleotide	Arabidopsis thaliana	no	AT2G24640	ubiquitin-specific protease 19;(source:Araport11)	2
264908_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17440	Encodes PIRL5, a member of the Plant Intracellular Ras-group-related LRRs (Leucine rich repeat proteins). PIRLs are a distinct, plant-specific class of intracellular LRRs that likely mediate protein interactions, possibly in the context of signal transduction. The mRNA is cell-to-cell mobile.	2
259524_at	oligonucleotide	Arabidopsis thaliana	no	AT1G12550	Encodes a hydroxypyruvate reductase that reduces HP to glycerate and shows even more activity with glyoxylate, a more upstream intermediate of the photorespiratory cycle.  It is likely targeted to the chloroplast where it could provide a compensatory bypass for the reduction of HP and glyoxylate within this compartment. Together with HPPR2 and TAT1 involved in the biosynthesis of pHPL from tyrosine.	1
263862_at	oligonucleotide	Arabidopsis thaliana	no	AT2G04550	Encodes a protein phosphatase that interacts with MPK12, but not with other MAP kinases. It can dephosphorylate a dually phosphorylated MPK12 in vitro and can inactivate MPK12 in vivo. ibr5 mutants have reduced sensitivity to auxin and abscisic acid.  IBR5 promotes auxin responses, including auxin-inducible transcription, differently than the TIR1 auxin receptor and without destabilizing Aux/IAA repressor proteins. It plays a role in male gametophyte development, auxin and TCP growth regulatory pathways. Regulates leaf serrations development via modulation of the expression of PIN1.	2
263478_at	oligonucleotide	Arabidopsis thaliana	no	AT2G31880	Encodes a putative leucine rich repeat transmembrane protein that is expressed in response to Pseudomonas syringae. Expression of SRRLK may be required for silencing via lsiRNAs.  Regulates cell death and innate immunity.	2
260314_at	oligonucleotide	Arabidopsis thaliana	no	AT1G63830	PLAC8 family protein;(source:Araport11)	1
266524_at	oligonucleotide	Arabidopsis thaliana	no	AT2G16960	ARM repeat superfamily protein;(source:Araport11)	2
257077_at	oligonucleotide	Arabidopsis thaliana	no	AT3G19690	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11)	3
258687_at	oligonucleotide	Arabidopsis thaliana	no	AT3G07860	Ubiquitin-like superfamily protein;(source:Araport11)	3
266207_at	oligonucleotide	Arabidopsis thaliana	no	AT2G27680	NAD(P)-linked oxidoreductase superfamily protein;(source:Araport11)	2
262843_at	oligonucleotide	Arabidopsis thaliana	no	AT1G14687	homeobox protein 32;(source:Araport11)	1
252650_at	oligonucleotide	Arabidopsis thaliana	no	AT3G44690	hypothetical protein;(source:Araport11)	3
266735_at	oligonucleotide	Arabidopsis thaliana	no	AT2G46930	Encodes a pectin acetylesterase that removes cell wall acetate associated with pectin formation in Arabidopsis leaves.	2
265457_at	oligonucleotide	Arabidopsis thaliana	no	AT2G46550	transmembrane protein;(source:Araport11)	2
253120_at	oligonucleotide	Arabidopsis thaliana	no	AT4G35790	Encodes a protein with phospholipase D activity. Involved in phospolipase metabolism. Mutants are affected in hydrogen peroxide mediated cell death.	4
253589_at	oligonucleotide	Arabidopsis thaliana	no	AT4G30825	puative protein	4
266261_at	oligonucleotide	Arabidopsis thaliana	no	AT2G27580	Regulated by heat shock.	2
249191_at	oligonucleotide	Arabidopsis thaliana	no	AT5G42760	Leucine carboxyl methyltransferase;(source:Araport11)	5
262254_at	oligonucleotide	Arabidopsis thaliana	no	AT1G53920	Contains lipase signature motif and GDSL domain.	1
257951_at	oligonucleotide	Arabidopsis thaliana	no	AT3G21700	Monomeric G protein. Expressed in root epidermal cells that are destined to become atrichoblasts. Also expressed during pollen development and in the pollen tube tip.	3
246203_at	oligonucleotide	Arabidopsis thaliana	no	AT4G36610	alpha/beta-Hydrolases superfamily protein;(source:Araport11)	4
260129_at	oligonucleotide	Arabidopsis thaliana	no	AT1G36380	transmembrane protein;(source:Araport11)	1
246885_at	oligonucleotide	Arabidopsis thaliana	no	AT5G26230	Encodes a member of the MAKR (MEMBRANE-ASSOCIATED KINASE REGULATOR)  gene family. MAKRs have putative kinase interacting motifs and membrane localization signals. Known members include: AT5G26230 (MAKR1), AT1G64080 (MAKR2), AT2G37380 (MAKR3), AT2G39370 (MAKR4), AT5G52870 (MAKR5) and AT5G52900 (MAKR6).	5
253335_at	oligonucleotide	Arabidopsis thaliana	no	AT4G33500	Protein phosphatase 2C family protein;(source:Araport11)	4
253911_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27300	S-locus lectin protein kinase family protein;(source:Araport11)	4
254740_s_at	oligonucleotide	Arabidopsis thaliana	no	AT4G13930	Encodes a serine hydroxymethyltransferase maximally expressed in root	4
257415_at	oligonucleotide	Arabidopsis thaliana	no	AT1G70040	transmembrane protein, putative (DUF1163);(source:Araport11)	1
246554_at	oligonucleotide	Arabidopsis thaliana	no	AT5G15450	Encodes a chloroplast-targeted Hsp101 homologue.  Functions as a molecular chaperone involved in plastid differentiation mediating internal thylakoid membrane formation and conferring thermotolerance to chloroplasts during heat stress.  APG6 is constitutively expressed in the root tips, the organ boundary region, the reproductive tissues of mature plants where plastids exist as proplastids, and slightly in the stems and leaves.  APG6 expression is upregulated in response to heat shock in various organs, but not in response to other abiotic stresses.  Apg6 mutants have a pale-green phenotype.	5
264959_at	oligonucleotide	Arabidopsis thaliana	no	AT1G77090	thylakoid lumenal protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein);(source:Araport11)	1
252216_at	oligonucleotide	Arabidopsis thaliana	no	AT3G50420	Pentatricopeptide repeat (PPR) superfamily protein;(source:Araport11)	3
267509_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45660	Controls flowering and is required for CO to promote flowering. It acts downstream of FT. Overexpression of (SOC1) AGL20 suppresses not only the late flowering of plants that have functional FRI and FLC alleles but also the delayed phase transitions during the vegetative stages of development. AGL20/SOC1 acts with AGL24 to promote flowering and inflorescence meristem identity.AGL20 upregulates expression of AGL24 in response to GA.	2
259602_at	oligonucleotide	Arabidopsis thaliana	no	AT1G56520	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	1
258442_at	oligonucleotide	Arabidopsis thaliana	no	AT3G01015	MDP60 is a member of the TPX2 protein family. It co-localizes with microtubules and appears to function to destabilize them during light mediated hypocotyl growth.	3
261300_at	oligonucleotide	Arabidopsis thaliana	no	AT1G48560	hypothetical protein;(source:Araport11)	1
264976_at	oligonucleotide	Arabidopsis thaliana	no	AT1G27080	Encodes a protein with low-affinity nitrate transporter activity that is expressed in the vascular tissue of the funiculus and the silique. This plasma membrane-localized enzyme is predicted to have 12 transmembrane domains. Plants lacking NRT1.6 have reduced levels of nitrate in their seeds and have increased levels of early embryonic developmental defects and seed abortion.	1
250308_at	oligonucleotide	Arabidopsis thaliana	no	AT5G12180	member of Calcium Dependent Protein Kinase	5
257308_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28120	transmembrane protein;(source:Araport11)	3
256703_at	oligonucleotide	Arabidopsis thaliana	no	AT3G30260	Agamous-like transcription factor. A target of SPL10, AGL79 knockdowns show defects in leaf shape, shoot branching, and flowering time.	3
256730_at	oligonucleotide	Arabidopsis thaliana	no	AT3G30260	Agamous-like transcription factor. A target of SPL10, AGL79 knockdowns show defects in leaf shape, shoot branching, and flowering time.	3
255842_at	oligonucleotide	Arabidopsis thaliana	no	AT2G33530	serine carboxypeptidase-like 46;(source:Araport11)	2
260668_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19530	DNA polymerase epsilon catalytic subunit A;(source:Araport11)	1
265636_at	oligonucleotide	Arabidopsis thaliana	no	AT2G27480	Calcium-binding EF-hand family protein;(source:Araport11)	2
262629_at	oligonucleotide	Arabidopsis thaliana	no	AT1G06460	ACD32.1 encodes an alpha-crystallin domain  containing protein with homology to small heat shock proteins.	1
259890_at	oligonucleotide	Arabidopsis thaliana	no	AT1G72750	translocase inner membrane subunit 23-2;(source:Araport11)	1
261413_at	oligonucleotide	Arabidopsis thaliana	no	AT1G07630	Encodes a protein phosphatase 2C  like gene, similar to POL. Involved in leaf development. Knockout mutants have abnormally shaped leaves.	1
264909_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17300	hypothetical protein;(source:Araport11)	2
247022_at	oligonucleotide	Arabidopsis thaliana	no	AT5G67050	alpha/beta-Hydrolases superfamily protein;(source:Araport11)	5
245567_at	oligonucleotide	Arabidopsis thaliana	no	AT4G14630	germin-like protein with N-terminal signal sequence that may target it to the vacuole, plasma membrane and/or outside the cell. The mRNA is cell-to-cell mobile.	4
263463_at	oligonucleotide	Arabidopsis thaliana	no	AT2G31770	RING/U-box superfamily protein;(source:Araport11)	2
256409_at	oligonucleotide	Arabidopsis thaliana	no	AT1G66620	Protein with RING/U-box and TRAF-like domain;(source:Araport11)	1
249589_at	oligonucleotide	Arabidopsis thaliana	no	AT5G37850	Encodes a pyridoxal kinase required for root hair development. Mutants are hypersensitive to Na+, K+ and Li+.	5
257834_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26720	Glycosyl hydrolase family 38 protein;(source:Araport11)	3
250818_at	oligonucleotide	Arabidopsis thaliana	no	AT5G04930	Encodes a putative aminophospholipid translocase (p-type ATPase) involved in chilling response.  It is targeted to the plasma membrane following association in the endoplasmic reticulum with an ALIS protein beta-subunit. The mRNA is cell-to-cell mobile.	5
247564_at	oligonucleotide	Arabidopsis thaliana	no	AT5G61140	Encodes a predicted protein with 30% identity with MER3/RCK. Similar to yast Brr2p DEAD/DExH box ATP-dependent RNA helicase.	5
260125_at	oligonucleotide	Arabidopsis thaliana	no	AT1G36390	Chloroplast GrpE protein.	1
262912_at	oligonucleotide	Arabidopsis thaliana	no	AT1G59740	Major facilitator superfamily protein;(source:Araport11)	1
246867_at	oligonucleotide	Arabidopsis thaliana	no	AT5G25990	core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;(source:Araport11)	5
253343_at	oligonucleotide	Arabidopsis thaliana	no	AT4G33540	metallo-beta-lactamase family protein;(source:Araport11)	4
259317_at	oligonucleotide	Arabidopsis thaliana	no	AT3G01100	unknown protein, has cDNAs and ESTs associated to it	3
259318_at	oligonucleotide	Arabidopsis thaliana	no	AT3G01100	unknown protein, has cDNAs and ESTs associated to it	3
246214_at	oligonucleotide	Arabidopsis thaliana	no	AT4G36990	Encodes a protein whose sequence is similar to heat shock factors that regulate the expression of heat shock proteins. Transcript level is increased in response to heat shock. However, overexpression of this gene did not result in the increase of decrease of heat shock proteins.	4
263380_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40200	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)	2
249765_at	oligonucleotide	Arabidopsis thaliana	no	AT5G24030	Encodes a protein with ten predicted transmembrane helices. The SLAH3 protein has similarity to the SLAC1 protein involved in ion homeostasis in guard cells. Although it is not expressed in guard cells, it can complement an slac1-2 mutant suggesting that it performs a similar function. SLAH3:GFP localizes to the plasma membrane.	5
247132_at	oligonucleotide	Arabidopsis thaliana	no	AT5G66200	Armadillo repeat protein. One of a family of four in Arabidopsis. Expressed in vegetative tissues, anthers and ovules.	5
257700_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12740	Physically interacts with ALA3, and is required for the phospholipid translocase activity of ALA3. The mRNA is cell-to-cell mobile.	3
245586_at	oligonucleotide	Arabidopsis thaliana	no	AT4G14980	Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)	4
258719_at	oligonucleotide	Arabidopsis thaliana	no	AT3G09540	Pectin lyase-like superfamily protein;(source:Araport11)	3
250715_at	oligonucleotide	Arabidopsis thaliana	no	AT5G06160	Encodes a protein with similarity to pre-mRNA splicing factor SF3a60 that is involved in gametic cell fate determination. Loss of function results in the ectopic expression of egg cell makers suggesting a role in restriction of gametic cell fate.  Expressed strongly in gametophytes and weakly in sporophytes.	5
264996_at	oligonucleotide	Arabidopsis thaliana	no	AT1G67230	Encodes a nuclear coiled-coil protein related to the carrot peripheral nuclear protein NMCP1 that is involved in the determination of plant nuclear structure. Member of a small gene family in Arabidopsis containing 4 proteins (LNC1-4 or CRWN 1-4) with redundant functions in protection from oxidative damage, control of nuclear morphology and degradation of ABI5.	1
266626_at	oligonucleotide	Arabidopsis thaliana	no	AT2G35360	ubiquitin family protein;(source:Araport11)	2
247805_at	oligonucleotide	Arabidopsis thaliana	no	AT5G58180	member of YKT6 Gene Family	5
267133_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23440	transmembrane protein;(source:Araport11)	2
260026_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29970	60S ribosomal protein L18A-1;(source:Araport11)	1
250819_at	oligonucleotide	Arabidopsis thaliana	no	AT5G05100	R3H RNA binding protein that interacts with AGO2 and miRNA.	5
255998_at	oligonucleotide	Arabidopsis thaliana	no	AT1G29780	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein;(source:Araport11)	1
264969_at	oligonucleotide	Arabidopsis thaliana	no	AT1G67320	DNA primase, large subunit family;(source:Araport11)	1
258537_at	oligonucleotide	Arabidopsis thaliana	no	AT3G04210	TN13 is a TIR-NBS protein involved in immune response. It co localizes with the ER and perinuclear membranes and interacts with MOS6.	3
252231_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49720	Encodes CGR2 (cotton Golgi-related 2). CGR2 and a close homologue CGR3 have overlapping roles in plant growth and pectin methylesterification in the Golgi apparatus.	3
257642_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25710	Encodes a basic helix-loop-helix transcription factor that  is expressed in the hypophysis-adjacent embryo cells, and is  required and partially sufficient for MP-dependent root initiation. Involved in response to phosphate starvation. Negative regulator of root hair development, anthocyanin formation  and Pi content. Its expression is responsive to both phosphate (Pi) and phosphite (Phi) in shoots.	3
256405_at	oligonucleotide	Arabidopsis thaliana	no	AT1G50700	Member of Calcium Dependent Protein Kinase. Mediates Strigolactone-Induced Stomatal Closure	1
253427_at	oligonucleotide	Arabidopsis thaliana	no	AT4G32390	Nucleotide-sugar transporter family protein;(source:Araport11)	4
261376_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18660	Membrane localized protein of unknown function. Involved in negative regulation of immune response. Mutants have increased resistance to pathogens.	1
249592_at	oligonucleotide	Arabidopsis thaliana	no	AT5G37890	Encodes an E3 protein ligase (based on a self-ubiquitination in vitro assay).	5
264183_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65380	Receptor-like protein containing leucine-rich repeats. Regulates both meristem and organ development in Arabidopsis.	1
251437_at	oligonucleotide	Arabidopsis thaliana	no	AT3G59910	Ankyrin repeat family protein;(source:Araport11)	3
265698_at	oligonucleotide	Arabidopsis thaliana	no	AT2G32160	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)	2
259394_at	oligonucleotide	Arabidopsis thaliana	no	AT1G06420	DNA ligase-like protein;(source:Araport11)	1
265585_at	oligonucleotide	Arabidopsis thaliana	no	AT2G20000	Required for cell division and cell differentiation in meristems. Encodes a homolog of the CDC27 subunit of the anaphase-promoting complex (APC). Unlike other CDC27 homologs in Arabidopsis, its transcription is cell cycle regulated. Strong hbt mutants give rise to seedlings that lack an anatomically recognizable quiescent center and differentiated columella root cap cells, the cell types derived from the wild-type hypophysis. Furthermore, they have no mitotically active root meristem and lack a differentiated lateral root cap.	2
252407_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47520	Encodes a protein with NAD-dependent malate dehydrogenase activity, located in chloroplasts. The mRNA is cell-to-cell mobile.	3
266294_at	oligonucleotide	Arabidopsis thaliana	no	AT2G29500	HSP20-like chaperones superfamily protein;(source:Araport11)	2
266868_at	oligonucleotide	Arabidopsis thaliana	no	AT2G44630	Galactose oxidase/kelch repeat superfamily protein;(source:Araport11)	2
267344_at	oligonucleotide	Arabidopsis thaliana	no	AT2G44230	hypothetical protein (DUF946);(source:Araport11)	2
245550_at	oligonucleotide	Arabidopsis thaliana	no	AT4G15330	cytochrome P450, family 705, subfamily A, polypeptide 1;(source:Araport11)	4
246769_at	oligonucleotide	Arabidopsis thaliana	no	AT5G27440	transmembrane protein;(source:Araport11)	5
250416_at	oligonucleotide	Arabidopsis thaliana	no	AT5G11220	hypothetical protein;(source:Araport11)	5
266718_at	oligonucleotide	Arabidopsis thaliana	no	AT2G46800	Encodes a member of the zinc transporter (ZAT) and cation diffusion facilitator (CDF) families. It is expressed throughout the plant, especially in dividing, differentiating and expanding cells. The protein is localized to the vacuolar membrane. Mediates Zn ion homeostasis.	2
261556_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G63390	flavin containing monooxygenase FMO GS-OX-like protein;(source:Araport11)	1
257662_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13320	low affinity calcium antiporter CAX2 The mRNA is cell-to-cell mobile.	3
247398_at	oligonucleotide	Arabidopsis thaliana	no	AT5G62950	RNA polymerase II, Rpb4, core protein;(source:Araport11)	5
257172_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23700	Encodes a chloroplast-localized S1 domain-containing protein with RNA chaperone activity that affects the splicing and processing of chloroplast transcripts and plays a role in Arabidopsis seedling growth in the presence of ABA. Binds the chloroplast psbA RNA and some other chloroplast RNAs. Required for the stability of the chloroplast ndhC RNA. Inhibits ribosome association with psbA RNA and ycf1 RNA. Not required for the splicing of chloroplast trnL, as had been reported previously.	3
250497_at	oligonucleotide	Arabidopsis thaliana	no	AT5G09630	LisH/CRA/RING-U-box domains-containing protein;(source:Araport11)	5
250583_at	oligonucleotide	Arabidopsis thaliana	no	AT5G07500	Encodes an embryo-specific zinc finger transcription factor required for heart-stage embryo formation.	5
260213_at	oligonucleotide	Arabidopsis thaliana	no	AT1G74490	Protein kinase superfamily protein;(source:Araport11)	1
251047_at	oligonucleotide	Arabidopsis thaliana	no	AT5G02390	Target promoter of the male germline-specific transcription factor DUO1.	5
252382_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47770	ABC2 homolog 5;(source:Araport11)	3
255850_at	oligonucleotide	Arabidopsis thaliana	no	AT2G33450	Ribosomal L28 family;(source:Araport11)	2
248679_at	oligonucleotide	Arabidopsis thaliana	no	AT5G48830	phosphoglycolate phosphatase;(source:Araport11)	5
248690_at	oligonucleotide	Arabidopsis thaliana	no	AT5G48230	Encodes an acetoacetyl-CoA thiolase that generates the bulk of the acetoacetyl-CoA precursor needed for the cytosolic localized, mevalonate-derived isoprenoids biosynthetic pathway.  Loss-of-function mutants are embryo lethal.	5
262866_at	oligonucleotide	Arabidopsis thaliana	no	AT1G64940	member of CYP89A	1
249513_at	oligonucleotide	Arabidopsis thaliana	no	AT5G38460	ALG6, ALG8 glycosyltransferase family;(source:Araport11)	5
246002_at	oligonucleotide	Arabidopsis thaliana	no	AT5G20740	Plant invertase/pectin methylesterase inhibitor superfamily protein;(source:Araport11)	5
253272_at	oligonucleotide	Arabidopsis thaliana	no	AT4G34190	Encodes a stress enhanced protein that localizes to the thylakoid membrane and whose mRNA is upregulated in response to high light intensity.  It may be involved in chlorophyll binding.	4
262549_at	oligonucleotide	Arabidopsis thaliana	no	AT1G31290	ARGONAUTE 3;(source:Araport11)	1
258203_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13950	ankyrin;(source:Araport11)	3
252835_at	oligonucleotide	Arabidopsis thaliana	no	AT3G42060	myosin heavy chain-like protein;(source:Araport11)	3
257572_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16880	F-box and associated interaction domains-containing protein;(source:Araport11)	3
263444_at	oligonucleotide	Arabidopsis thaliana	no	AT2G28700	AGAMOUS-like 46;(source:Araport11)	2
